,source,english_sentence,hindi_sentence,translated_base
38725,indic2012,Marathi film occupation is also situated in Mumbai.,मराठी चलचित्र उद्योग भी मुंबई में ही स्थित है।,Marathi film industry is based in Mumbai.
40550,indic2012,"After that, instead of the traditional scaffoldings of bamboo, a huge tomb like structure was made of bricks.",फिर बांस के परंपरागत पैड़ (स्कैफ्फोल्डिंग) के बजाय एक बहुत बडा़ ईंटों का मकबरे समान ही ढाँचा बनाया गया।,Then tomb of a too large bricks instead of conventional dendritic (Skaffolding) bamboo built the same structure.
79689,ted,"and they want us all back on the couch,",और वो हमें वापस सिर्फ़ कन्स्यूमर बनाना चाहते हैं-,"And they are, we want to go back to Consumer only"
60921,indic2012,MOdel&interesment web site,मोडल और इन्टरटेन्मेन्ट वेब साइट,Model and Entertainment Web Site
48175,indic2012,History,इतिहास,history
58607,ted,"But as these conversations unfolded,","लेकिन जैसे वार्तालाप शुरू हुए,","But as the conversation,"
6890,tides,"Also at stake , besides the Narmada , are the priceless coal and bauxite deposits .",नर्मदा के अलवा बॉक्साइट और कोयले के अमूल्य भंड़ार भी दांव पर लगे हैं .,Invaluable storehouse of Beyond bauxite and coal Narmada are also at stake.
63503,ted,"And going to school, that's not a goal, it's a mean.","और स्कूल जाना, नहीं वो भी लक्ष्य नहीं, बल्कि एक साधन है।","And go to school, do they not goal, but a means."
27409,indic2012,"To become Indian president,it is mandatory to be an Indian citizen and his age should be at least 35 years.",भारतीय राष्ट्रपति का भारतीय नागरिक होना आवश्यक है तथा उसकी आयु कम से कम ३५ वर्ष होनी चाहिए।,Must be the President of the Indian and his age should be at least 35 years old.
62062,ted,then they will show off with each other,फिर ये एक दूसरे को दिखाएँगे कि,Then they show each other that
4445,ted,at the Minister of Health headquarters.,स्वास्थ्य मंत्रालय के मुख्यालय में हैं.,Health ministry headquarters.
2117,indic2012,many important peoples saying is that many important knowledge were in books other wise it may lost,विशेषज्ञों का मानना है कि इस के कारण बहुत बड़ा ज्ञानकोष इतिहास के पन्नों में खोने से रह गया।,Experts believe that due to the reduced loss in the pages of the huge Knowledge history.
12110,tides,"Therefore , any adjustment or compromise between these two forces was impossible .",इसलिए इन दोनों शक़्तियों में किसी भी तरह का तालमेल या समझौता असंभव है .,So combine any of these Skhtion or compromise is impossible.
99537,tides,Myth : Global recession has affected India 's prospects and this year 's GDP growth .,मिथकः विश्वव्यापी मंदी से भारत की संभावनाओं और इस साल के जीड़ीपी वृद्धि पर असर पड़ है .,MYTH worldwide recession has affected India&#39;s prospects and Jeedheepi growth this year.
3178,tides,"Age is beginning to tell on its 160year-old building , but its academic excellence is unwithered .",इस 160 साल पुराने संस्थान की इमारत पर समय असर दिखा रहा है लेकिन शिक्षा के मामले में उसकी बढेत बरकरार है .,This is showing the 160-year effect of the old institution building but retained his Bdet in terms of education.
38179,ted,"The first day, it was a huge umbrella cap,","ठीक पहले दिन, उसने छतरी जैसी बडी टोपी पहनी,","Just before day, he wore a big hat like umbrella,"
